"card_id","priority","related_rules","coverage_disposition","witness","proposed_control","source_ids","execution_status"
"SL-011","P1","DS-010, ST-001, ST-015","Existing format primitives; procedure-option combinations need review","Map raw codes 1 and 2 to one label, then compare formatted grouping with GROUPINTERNAL. Add a missing class and an unobserved preloaded level as distinct cases.","Carry the format catalog and procedure options through conversion. Compare group membership, zero-count levels, counts, and the output representative value separately.","S11","DESIGN_ONLY_NOT_RUN"
"SL-012","P1","DS-012, DS-020","Half-away reference exists; fuzzing neighborhood remains a separate contract","Test positive and negative half-unit boundaries, nearby representable numbers, and a non-decimal rounding unit. Include exact ties and near ties separately.","Name the SAS function, unit, numeric domain, and comparison tolerance. Do not infer full equivalence from a few decimal examples or substitute string formatting for arithmetic.","S12","DESIGN_ONLY_NOT_RUN"
"SL-013","P1","DS-011","Existing INTCK/INTNX family; options and parsing remain explicit","Compare January 31 to February 1 using month intervals: the discrete count is one while the continuous count is zero. Add leap-day and month-end cases before selecting a target offset operation.","Record epoch, units, interval, method, alignment, and date-parsing policy. Keep INTNX alignment tests separate; an INTCK result does not validate INTNX SAME.","S13","DESIGN_ONLY_NOT_RUN"
"SL-014","P0","DS-021 adjacent; raw INPUT is a separate surface","New raw-record boundary fixtures proposed","Read records '1', '22', and '33333' with a five-column numeric informat under each end-of-record option. Record both resulting values and the number of consumed physical lines.","Inventory INPUT style, informats, delimiters, quoting, line endings, and INFILE options. Distinguish raw-record parsing from PROC IMPORT type guessing; both require their own fixture.","S14","DESIGN_ONLY_NOT_RUN"
"SL-015","P1","ST-001 and procedure-specific statistical rules","Known corrected weight behavior; broaden procedure contrasts","Use nonmissing responses paired with positive, zero, negative, and missing weights. Compare N, total weight, mean, and variance under explicit VARDEF and EXCLNPWGT choices.","Write the estimator formula and inclusion mask before choosing a library function. Match response-missing handling separately; agreement on the mean does not establish variance or degrees-of-freedom parity.","S15;S16","DESIGN_ONLY_NOT_RUN"
"SL-016","P1","ST-002","Existing mapping; weighted and approximate paths need separate scope","For sorted values 0,10,20,30 at p=0.25, R type 7 gives 7.5 while type 2 gives 5. This is a target-algorithm illustration, not a universal mapping for every SAS procedure.","Select the actual SAS procedure, definition, exact/approximate method, and weight contract first. Verify any R or Python mapping on ties, small samples, endpoints, and missing values.","T05;S16","DESIGN_ONLY_NOT_RUN"
"SL-017","P1","ST-008; ST-007 adjacent","Rulebook covers settings; model-specific validation still required","Fit the same two-level predictor with event 1 versus event 0 and with both reference levels. Inspect the response profile and design matrix before comparing coefficients.","Pin event, reference levels, parameterization, analysis rows, weights, and convergence conditions. Compare predictions and named contrasts as well as coefficient arrays.","S17","DESIGN_ONLY_NOT_RUN"
"SL-018","P1","SV-002; SV-001, SV-003 adjacent","Existing survey routing; verify variance design explicitly","Use a multi-stratum clustered sample with a domain absent from some clusters. Compare raw-data filtering with domain estimation on the full design and examine standard errors and degrees of freedom.","Build the complete survey design first and use its domain operation. Pin strata, clusters, finite-population corrections, replicate scaling, and singleton handling rather than replacing the analysis with weighted means.","S18;S19","DESIGN_ONLY_NOT_RUN"
"SL-019","P2","ST-016, SV-006; stochastic tolerance tier","Existing stochastic policy; per-generator validation required","Generate normals and uniforms from equal integer seeds in the chosen runtimes. Treat unequal draws as expected unless an exact shared algorithm contract has been implemented.","For stochastic equivalence, predeclare distributional diagnostics and tolerances. For exact replay, capture or specify the complete stream and transformation contract. Do not tune tests until unrelated streams happen to match.","S20;T02","DESIGN_ONLY_NOT_RUN"
"SL-020","P0","DS-018, DS-019; GP-03","Existing interchange policy; catalog and encoding round trips need witnesses","Round-trip an identifier with leading zeros, a labeled value, a special missing tag, a date value, and multibyte text. Compare typed values and metadata separately.","Retain a reviewed metadata sidecar with the converted table. Validate labels, format names, missing tags, widths, and encoding; do not claim Parquet alone preserves every SAS attribute.","T03;T04","DESIGN_ONLY_NOT_RUN"
"SL-021","P1","SQL-001, DS-019","Engine-mode frontier; no blanket Base SAS to CAS claim","Read .A, ordinary missing, blank text, and null through both declared modes. Compare equality predicates, joins, and the values written back to a SAS table.","Record execution engine, connection path, mode, and data-source types. Do not treat PROC SQL, PROC FEDSQL, remote pass-through SQL, and CAS execution as one language implementation.","S21","DESIGN_ONLY_NOT_RUN"
"SL-022","P1","DS-016","Existing array semantics; declaration order and retention need composition tests","Declare an array over x and y, assign through the second element, and inspect y. Then assign y directly and inspect that array element; a copied Python list will not reproduce both directions automatically.","Preserve aliasing, bounds, variable order, and initialization lifetime. Resolve special variable lists against the correct compile-time schema.","S22","DESIGN_ONLY_NOT_RUN"
"SL-023","P2","MC-007, MC-008, MC-009","Operational acceptance beyond numeric fixtures","Run two interactive procedure steps with an ODS OUTPUT request between them, then repeat with an explicit QUIT and correctly scoped request. Check actual dataset creation rather than the printed report.","Declare required datasets, schemas, log conditions, and procedure lifecycle. Treat missing artifacts as failures even when the job process finishes. Separate output suppression from preventing object generation.","S23","DESIGN_ONLY_NOT_RUN"
"SL-024","P1","ST-010","Existing human-review/statistical routing; compare full model specification","Use unbalanced repeated measurements, specify an unstructured residual covariance, and compare the fitted covariance and named treatment contrast with an independently specified target model.","Pin covariance structure, ML/REML or likelihood approximation, degrees-of-freedom method, contrasts, optimizer, and convergence checks. Compare estimands and covariance parameters before relaxing numeric tolerances.","C01;C02","DESIGN_ONLY_NOT_RUN"
"SL-025","P1","ST-011","Existing survival family; tied-event and risk-set fixtures needed","Use tied event times plus censoring and compare explicitly selected Breslow and Efron fits. Add delayed entry as a separate risk-set test rather than assuming right-censoring coverage includes it.","Pin tie method, event/censor coding, time scale, entry/exit intervals, strata, and baseline-survival method. Assess risk sets and log likelihood before comparing coefficients.","S26;T06","DESIGN_ONLY_NOT_RUN"
